datetime,open,high,low,close,volume
2024-05-24,22930.75,23026.4004,22908.0,22957.0996,261900
2024-05-27,23038.9492,23110.8008,22871.1992,22932.4492,260000
2024-05-28,22977.1504,22998.5508,22858.5,22888.1504,217900
2024-05-29,22762.75,22825.5,22685.4492,22704.6992,269900
2024-05-30,22617.4492,22705.75,22417.0,22488.6504,373400
2024-05-31,22568.0996,22653.75,22465.0996,22530.6992,572100
2024-06-03,23337.9004,23338.6992,23062.3008,23263.9004,569400
2024-06-04,23179.5,23179.5,21281.4492,21884.5,1006100
2024-06-05,22128.3496,22670.4004,21791.9492,22620.3496,638500
2024-06-06,22798.5996,22910.1504,22642.5996,22821.4004,480400
2024-06-07,22821.8496,23320.1992,22789.0508,23290.1504,473600
2024-06-10,23319.1504,23411.9004,23227.1504,23259.1992,304400
2024-06-11,23283.75,23389.4492,23206.6504,23264.8496,305200
2024-06-12,23344.4492,23441.9492,23295.9492,23322.9492,295600
2024-06-13,23480.9492,23481.0508,23353.9004,23398.9004,268300
2024-06-14,23464.9492,23490.4004,23334.25,23465.5996,223100
2024-06-18,23570.8008,23579.0508,23499.6992,23557.9004,272200
2024-06-19,23629.8496,23664.0,23412.9004,23516.0,328800
2024-06-20,23586.1504,23624.0,23442.5996,23567.0,280300
2024-06-21,23661.1504,23667.0996,23398.1992,23501.0996,609900
2024-06-24,23382.3008,23558.0996,23350.0,23537.8496,239400
2024-06-25,23577.0996,23754.1504,23562.0508,23721.3008,298100
2024-06-26,23723.0996,23889.9004,23670.4492,23868.8008,287800
2024-06-27,23881.5508,24087.4492,23805.4004,24044.5,515200
2024-06-28,24085.9004,24174.0,23985.8008,24010.5996,354800
2024-07-01,23992.9492,24164.0,23992.6992,24141.9492,0
2024-07-02,24228.75,24236.3496,24056.4004,24123.8496,0
2024-07-03,24291.75,24309.1504,24207.0996,24286.5,0
2024-07-04,24369.9492,24401.0,24281.0,24302.1504,251200
2024-07-05,24213.3496,24363.0,24168.8496,24323.8496,298400
2024-07-08,24329.4492,24344.5996,24240.5508,24320.5508,266300
2024-07-09,24351.0,24443.5996,24331.9004,24433.1992,250500
2024-07-10,24459.8496,24461.0508,24141.8008,24324.4492,292300
2024-07-11,24396.5508,24402.6504,24193.75,24315.9492,306400
2024-07-12,24387.9492,24592.1992,24331.1504,24502.1504,325800
2024-07-15,24587.5996,24635.0508,24522.75,24586.6992,305400
2024-07-16,24615.9004,24661.25,24587.6504,24613.0,283200
2024-07-18,24543.8008,24837.75,24504.4492,24800.8496,350900
2024-07-19,24853.8008,24854.8008,24508.1504,24530.9004,343800
2024-07-22,24445.75,24595.1992,24362.3008,24509.25,324200
2024-07-23,24568.9004,24582.5508,24074.1992,24479.0508,436400
2024-07-24,24444.9492,24504.25,24307.25,24413.5,366600
2024-07-25,24230.9492,24426.1504,24210.8008,24406.0996,391800
2024-07-26,24423.3496,24861.1504,24410.9004,24834.8496,383800
2024-07-29,24943.3008,24999.75,24774.5996,24836.0996,355000
2024-07-30,24839.4004,24971.75,24798.6504,24857.3008,385000
2024-07-31,24886.6992,24984.5996,24856.5,24951.1504,333600
2024-08-01,25030.9492,25078.3008,24956.4004,25010.9004,431300
2024-08-02,24789.0,24851.9004,24686.8496,24717.6992,345000
2024-08-05,24302.8496,24350.0508,23893.6992,24055.5996,487000
2024-08-06,24189.8496,24382.5996,23960.4004,23992.5508,312300
2024-08-07,24289.4004,24337.6992,24184.9004,24297.5,317600
2024-08-08,24248.5508,24340.5,24079.6992,24117.0,311900
2024-08-09,24386.8496,24419.75,24311.1992,24367.5,215100
2024-08-12,24320.0508,24472.8008,24212.0996,24347.0,279900
2024-08-13,24342.3496,24359.9492,24116.5,24139.0,239700
2024-08-14,24184.4004,24196.5,24099.6992,24143.75,303300
2024-08-16,24334.8496,24563.9004,24204.5,24541.1504,271600
2024-08-19,24636.3496,24638.8008,24522.9492,24572.6504,243600
2024-08-20,24648.9004,24734.3008,24607.1992,24698.8496,238300
2024-08-21,24680.5508,24787.9492,24654.5,24770.1992,257100
2024-08-22,24863.4004,24867.3496,24784.4492,24811.5,220300
2024-08-23,24845.4004,24858.4004,24771.6504,24823.1504,206800
2024-08-26,24906.0996,25043.8008,24874.6992,25010.5996,210300
2024-08-27,25024.8008,25073.0996,24973.6504,25017.75,223300
2024-08-28,25030.8008,25129.5996,24964.6504,25052.3496,220400
2024-08-29,25035.3008,25192.9004,24998.5,25151.9492,354000
2024-08-30,25249.6992,25268.3496,25199.4004,25235.9004,638200
2024-09-02,25333.5996,25333.6504,25235.5,25278.6992,222800
2024-09-03,25313.4004,25321.6992,25235.8008,25279.8496,212100
2024-09-04,25089.9492,25216.0,25083.8008,25198.6992,253800
2024-09-05,25250.5,25275.4492,25127.75,25145.0996,222200
2024-09-06,25093.6992,25168.75,24801.3008,24852.1504,311700
2024-09-09,24823.4004,24957.5,24753.1504,24936.4004,254400
2024-09-10,24999.4004,25130.5,24896.8008,25041.0996,251300
2024-09-11,25034.0,25113.6992,24885.1504,24918.4492,279200
2024-09-12,25059.6504,25433.3496,24941.4492,25388.9004,380100
2024-09-13,25430.4492,25430.5,25292.4492,25356.5,250800
2024-09-16,25406.6504,25445.6992,25336.1992,25383.75,168700
2024-09-17,25416.9004,25441.6504,25352.25,25418.5508,216000
2024-09-18,25402.4004,25482.1992,25285.5508,25377.5508,215700
2024-09-19,25487.0508,25611.9492,25376.0508,25415.8008,314500
2024-09-20,25525.9492,25849.25,25426.5996,25790.9492,533100
2024-09-23,25872.5508,25956.0,25847.3496,25939.0508,209200
2024-09-24,25921.4492,26011.5508,25886.8496,25940.4004,384100
2024-09-25,25899.4492,26032.8008,25871.3496,26004.1504,278500
2024-09-26,26005.4004,26250.9004,25998.4004,26216.0508,370900
2024-09-27,26248.25,26277.3496,26151.4004,26178.9492,490300
2024-09-30,26061.3008,26134.6992,25794.0996,25810.8496,343100
